school_name,address,postal_code,dgp_code,zone_code,cluster_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,Y,X
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,SERANGOON,SOUTH,SOUTH 6,JUNIOR COLLEGE,No,No,No,No,1.350297,103.866494
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734,BUKIT TIMAH,WEST,WEST 1,MIXED LEVEL,Yes,No,No,Yes,1.324644,103.8059
MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8,658965,BUKIT BATOK,WEST,WEST 7,CENTRALISED INSTITUTE,No,No,No,No,1.350343,103.741592
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD,679676,BUKIT PANJANG,WEST,WEST 8,PRIMARY,No,No,No,No,1.37293,103.769259
HAIG GIRLS' SCHOOL,51 KOON SENG ROAD,427072,GEYLANG,EAST,EAST 5,PRIMARY,No,No,No,No,1.311559,103.902621
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261,CHOA CHU KANG,WEST,WEST 5,PRIMARY,No,No,No,No,1.383126,103.753548
JURONG PRIMARY SCHOOL,320 JURONG EAST STREET 32,609476,JURONG EAST,WEST,WEST 4,PRIMARY,No,No,No,No,1.348679,103.732992
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303,QUEENSTOWN,SOUTH,SOUTH 2,PRIMARY,No,No,No,No,1.296349,103.807958
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE,99840,BUKIT MERAH,SOUTH,SOUTH 4,PRIMARY,No,No,No,No,1.352083,103.819836
RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD,289072,BUKIT TIMAH,SOUTH,SOUTH 3,PRIMARY,No,No,Yes,No,1.330302,103.806788
ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4,555855,SERANGOON,NORTH,NORTH 1,PRIMARY,No,No,Yes,No,1.372862,103.874791
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT,479226,BEDOK,EAST,EAST 4,PRIMARY,No,No,No,No,1.335847,103.921064
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,JURONG EAST,WEST,WEST 7,PRIMARY,No,No,No,No,1.336524,103.736118
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,WOODLANDS,NORTH,NORTH 7,PRIMARY,No,No,No,No,1.436771,103.791794
EUNOS PRIMARY SCHOOL,95 JALAN EUNOS,419529,GEYLANG,EAST,EAST 4,PRIMARY,No,No,No,No,1.324223,103.904727
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,BUKIT TIMAH,WEST,WEST 1,PRIMARY,No,No,Yes,No,1.3168709,103.784132
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD,339948,KALLANG,SOUTH,SOUTH 5,PRIMARY,No,No,No,No,1.322197,103.865365
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,JURONG WEST,WEST,WEST 3,PRIMARY,No,No,No,No,1.351499,103.707576
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720,HOUGANG,NORTH,NORTH 3,PRIMARY,No,No,No,No,1.3777919,103.885447
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS,109100,BUKIT MERAH,SOUTH,SOUTH 2,PRIMARY,No,No,No,No,1.276261,103.808522
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3,569920,ANG MO KIO,SOUTH,SOUTH 1,PRIMARY,No,No,No,No,1.368803,103.839266
MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,ANG MO KIO,SOUTH,SOUTH 1,PRIMARY,No,No,No,No,1.376395,103.843181
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299,ANG MO KIO,SOUTH,SOUTH 7,PRIMARY,No,No,No,No,1.365396,103.8505239
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300,BEDOK,EAST,EAST 2,PRIMARY,No,No,No,No,1.317502,103.945488
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,WOODLANDS,NORTH,NORTH 7,PRIMARY,No,No,No,No,1.432693,103.78577
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,ANG MO KIO,SOUTH,SOUTH 1,PRIMARY,No,No,No,No,1.3714789,103.851863
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,YISHUN,NORTH,NORTH 6,PRIMARY,No,No,No,No,1.434101,103.833896
STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE,198423,CENTRAL,SOUTH,SOUTH 5,PRIMARY,No,No,No,No,1.303878,103.857586
FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE,797701,SENG KANG,NORTH,NORTH 3,PRIMARY,No,No,No,No,1.389948,103.873919
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10,569730,ANG MO KIO,SOUTH,SOUTH 7,PRIMARY,No,No,No,No,1.359123,103.854452
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52,649295,JURONG WEST,WEST,WEST 7,PRIMARY,No,No,No,No,1.346187,103.718911
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104,CLEMENTI,WEST,WEST 1,PRIMARY,No,No,No,No,1.312805,103.757141
ZHANGDE PRIMARY SCHOOL,51 JALAN MEMBINA,169485,BUKIT MERAH,SOUTH,SOUTH 4,PRIMARY,No,No,No,No,1.284578,103.826193
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12,529426,TAMPINES,EAST,EAST 6,PRIMARY,No,No,No,No,1.349774,103.94402
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21,529392,TAMPINES,EAST,EAST 3,PRIMARY,No,No,No,No,1.350835,103.951438
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1,538882,HOUGANG,SOUTH,SOUTH 6,PRIMARY,No,No,No,No,1.357861,103.889918
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,YISHUN,NORTH,NORTH 2,PRIMARY,No,No,No,No,1.427671,103.830498
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,WOODLANDS,NORTH,NORTH 7,PRIMARY,No,No,No,No,1.4302,103.778088
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21,659634,BUKIT BATOK,WEST,WEST 4,PRIMARY,No,No,No,No,1.346179,103.753862
